# Time;Field[mT];Voltage[V]
1008;2.3547274995344196;1.2812
1014;2.3547274995344196;1.2812
1020;2.3547274995344196;1.2812
1026;2.3547274995344196;1.2812
1032;2.3547274995344196;1.2812
1038;2.3547274995344196;1.2812
1044;2.3547274995344196;1.2812
1050;2.3547274995344196;1.2812
1056;2.3547274995344196;1.2812
1062;2.3547274995344196;1.2812
1068;2.3547274995344196;1.2812
1074;2.3547274995344196;1.2812
1080;2.3547274995344196;1.2812
1086;2.3547274995344196;1.2812
1092;2.3547274995344196;1.2812
1098;2.3547274995344196;1.2812
1104;2.3547274995344196;1.2812
1110;2.3547274995344196;1.2812
1116;2.3547274995344196;1.2812
1122;2.3547274995344196;1.2812
1128;2.3547274995344196;1.2812
1134;2.3547274995344196;1.2812
1140;2.3547274995344196;1.2812
1146;2.3547274995344196;1.2812
1152;2.3547274995344196;1.2812
1158;2.3547274995344196;1.2812
1164;2.3547274995344196;1.2812
1170;2.3547274995344196;1.2812
1176;2.3547274995344196;1.2812
1182;2.3547274995344196;1.2812
1188;2.3547274995344196;1.2812
1194;2.3547274995344196;1.2812
1200;2.3547274995344196;1.2812
1206;2.3547274995344196;1.2812
1212;2.3547274995344196;1.2812
1218;2.3547274995344196;1.2812
1224;2.3547274995344196;1.2812
1230;2.3547274995344196;1.2812
1236;2.3547274995344196;1.2812
1242;2.3547274995344196;1.2812
1248;2.3547274995344196;1.2812
1254;2.3547274995344196;1.2812
1260;2.3547274995344196;1.2812
1266;2.3547274995344196;1.2812
1272;2.3547274995344196;1.2812
1278;2.3547274995344196;1.2812
1284;2.3547274995344196;1.2812
1290;2.3547274995344196;1.2812
1296;2.3547274995344196;1.2812
1302;2.3547274995344196;1.2812
1308;2.3547274995344196;1.2812
1314;2.3547274995344196;1.2812
1320;2.3547274995344196;1.2812
1326;2.3547274995344196;1.2812
1332;2.3547274995344196;1.2812
1338;2.3547274995344196;1.2812
1344;2.3547274995344196;1.2812
1350;2.3547274995344196;1.2812
1356;2.3547274995344196;1.2812
1362;2.3547274995344196;1.2812
1368;2.3547274995344196;1.2812
1374;2.3547274995344196;1.2812
1380;2.3547274995344196;1.2812
1386;2.3547274995344196;1.2812
1392;2.3547274995344196;1.2812
1398;2.3547274995344196;1.2812
1404;2.3547274995344196;1.2812
1410;2.3547274995344196;1.2812
1416;2.3547274995344196;1.2812
1422;2.3547274995344196;1.2812
1428;2.3547274995344196;1.2812
1434;2.3547274995344196;1.2812
1440;2.3547274995344196;1.2812
1446;2.3547274995344196;1.2812
1452;2.3547274995344196;1.2812
1458;2.3547274995344196;1.2812
1464;2.3547274995344196;1.2812
1470;2.3547274995344196;1.2812
1476;2.3547274995344196;1.2812
1482;2.3547274995344196;1.2812
1488;2.3547274995344196;1.2812
1494;2.3547274995344196;1.2812
1500;2.3547274995344196;1.2812
1506;2.3547274995344196;1.2812
1512;2.3547274995344196;1.2812
1518;2.3547274995344196;1.2812
1524;2.3547274995344196;1.2812
1530;2.3547274995344196;1.2812
1536;2.3547274995344196;1.2812
1542;2.3547274995344196;1.2812
1548;2.3547274995344196;1.2812
1554;2.3547274995344196;1.2812
1560;2.3547274995344196;1.2812
1566;2.3547274995344196;1.2812
1572;2.3547274995344196;1.2812
1578;2.3547274995344196;1.2812
1584;2.3547274995344196;1.2812
1590;2.3547274995344196;1.2812
1596;2.3547274995344196;1.2812
1602;2.3547274995344196;1.2812
1608;2.3547274995344196;1.2812
1614;2.3547274995344196;1.2812
1620;2.3547274995344196;1.2812
1626;2.3547274995344196;1.2812
1632;2.3547274995344196;1.2812
1638;2.3547274995344196;1.2812
1644;2.3547274995344196;1.2812
1650;2.3547274995344196;1.2812
1656;2.3547274995344196;1.2812
1662;2.3547274995344196;1.2812
1668;2.3547274995344196;1.2812
1674;2.3547274995344196;1.2812
1680;2.3547274995344196;1.2812
1686;2.3547274995344196;1.2812
1692;2.3547274995344196;1.2812
1698;2.3547274995344196;1.2812
1704;2.3547274995344196;1.2812
1710;2.3547274995344196;1.2812
1716;2.3547274995344196;1.2812
1722;2.3547274995344196;1.2812
1728;2.3547274995344196;1.2812
1734;2.3547274995344196;1.2812
1740;2.3547274995344196;1.2812
1746;2.3547274995344196;1.2812
1752;2.3547274995344196;1.2812
1758;2.3547274995344196;1.2812
1764;2.3547274995344196;1.2812
1770;2.3547274995344196;1.2812
1776;2.3547274995344196;1.2812
1782;2.3547274995344196;1.2812
1788;2.3547274995344196;1.2812
1794;2.3547274995344196;1.2812
1800;2.3547274995344196;1.2812
1806;2.3547274995344196;1.2812
1812;2.3547274995344196;1.2812
1818;2.3547274995344196;1.2812
1824;2.3547274995344196;1.2812
1830;2.3547274995344196;1.2812
1836;2.3547274995344196;1.2812
1842;2.3547274995344196;1.2812
1848;2.3547274995344196;1.2812
1854;2.3547274995344196;1.2812
1860;2.3547274995344196;1.2812
1866;2.3547274995344196;1.2812
1872;2.3547274995344196;1.2812
1878;2.3547274995344196;1.2812
1884;2.3547274995344196;1.2812
1890;2.3547274995344196;1.2812
1896;2.3547274995344196;1.2812
1902;2.3547274995344196;1.2812
1908;2.3547274995344196;1.2812
1914;2.3547274995344196;1.2812
